lnglat,cnt
"113.033888,28.211748",78
"113.0000757,28.2176171",96
"112.978649,28.1992672",90
"112.953595,28.124344",82
"112.9686308,28.1927104",92
"112.943867,28.189122",92
"112.975194,28.190416",92
"113.062381,28.238254",94
"112.978544,28.196206",86
"112.966916,28.173455",94
"112.955792,28.124883",94
"112.983894,28.202125",86
"112.946954,28.186455",92
"112.987958,28.189401",86
"112.951353,28.185325",92
"112.8389931,28.4121851",88
"112.9803331,28.1958564",88
"112.9038045,28.1838362",92
"113.052835,28.242421",90
"112.933511,28.132649",90
"112.943996,28.186638",90
"112.983169,28.196533",92
"112.795732,28.462778",84
"112.9401804,28.1833811",88
"114.083926,28.429705",86
"113.593683,28.20223",86
"112.984858,28.230039",88
"112.978622,28.198319",86
"112.979155,28.181525",92
"113.0379983035,28.1151267849",74
"112.958773,28.199434",86
"112.9872894,28.185084",90
"112.738805,28.509337",74
"112.655339,28.040388",96
"112.971605,28.497596",80
"112.9897236,28.1905482",88
"113.005441,28.217785",92
"112.9721793,28.1992781",90
"112.940729,28.186654",88
"112.99238,28.184609",86
"112.9429169,28.3059059",92
"112.363529,27.986288",92
"112.9866777173,28.1858450001",80
"112.9679326,28.1890778",92
"112.067629,28.157665",76
"113.014941,28.201136",90
"113.669327,28.437087",90
"113.644159,28.453576",0
"114.09758,28.42908",0
"113.644159,28.453576",0
"112.934197,28.1772",94
"112.9497870706,28.1947332618",0
"112.9872107078,28.2004857014",80
"113.0394658,28.2438852",92
"112.972174,28.14673",94
"112.337402,28.110607",92
"113.894555,28.08329",92
"113.092775,28.015169",94
"113.300563,27.915614",100
"112.9693914,28.2271149",92
"112.851819,28.209822",96
"114.114713,28.425133",0
"112.98855,28.205371",92
"113.0932878958,28.0140436502",0
"112.9878877,28.2089356",90
"112.72523,28.257578",80
"112.9800918914,28.1985513166",94
"113.0101593,28.0388202",86
"114.036511,28.409543",90
"113.0386228,28.1093726",94
"113.680036,28.411822",90
"112.938361,28.186767",90
"112.950473,28.185569",90
"113.0047619596,28.2040191114",100
"112.987417,28.247688",88
"112.14594,28.22",88
"113.732686,27.995542",0
"113.072664,28.25202",0
"111.976791,28.183268",98
"112.982166,28.19707",80
"112.2145751016,28.1360398474",0
"112.9905627,28.207025",90
"112.1215706,28.158018",96
"112.9377884,28.1883535",100
"113.640333,28.149239",82
"113.938778,28.048663",92
"112.5651354533,28.2617184774",80
"111.9769641946,28.1827675871",80
"112.9992933616,28.2181105108",0
"113.0466557,28.3022955",74
"113.3170419084,28.3834890787",0
"113.636233836,28.1430338404",80
"113.016523,28.204374",90
"112.6541316982,27.9256251402",100
"112.95596,28.193113",90
"113.669643,28.437394",0
"112.7104,28.240289",0
"113.048743,28.297824",0
"112.705975,28.414312",0
"112.927761,28.423227",0
"112.246418,28.105949",0
"112.923064,28.249025",0
"112.9825178,28.1931027",0
"113.660107,28.076244",0
"114.133389,28.268709",0
"113.511192,28.042217",0
"112.866091,28.464586",0
"113.051297,28.297159",0
"112.651236,28.038355",0
"113.074713,28.269172",0
"113.0136497,28.4715908",0
"112.970433,28.205349",0
"113.481329,28.451988",0
"113.177206,28.063156",0
"113.179585,28.087944",0
"113.514228,27.993082",0
"113.101597,28.071983",0
"113.040533,28.145216",0
"112.955205,28.179888",0
"112.978728,28.289883",0
"112.900064,28.236108",0
"113.031905,28.261049",0
"113.025305,28.162559",0
"113.032406,28.14906",0
"112.986594,28.221535",0
"113.02225,28.466023",0
"112.943594,28.133566",0
"113.040696,28.136791",0
"112.744864,28.160594",0
"113.38436,27.892893",0
"113.039145,28.114863",0
"112.672857,28.149153",0
"112.72523,28.257578",0
"113.382796,28.171274",0
"114.003847,28.180014",0
"112.963063,28.00932",0
"113.045679,28.213947",0
"113.002409,28.215966",0
"114.127846,28.425274",0
"112.967027,28.189702",0
"112.614203,28.300689",0
"113.002906,28.178008",0
"112.887111,28.402153",0
"112.515162,28.195551",0
"112.855065,28.453953",0
"112.95437,28.194232",0
"112.769717,28.125075",0
"113.026146,28.462904",0
"114.113679,28.412878",0
"113.016783,28.193615",0
"114.159889,28.369401",0
"112.937957,28.175564",0
"112.979106,28.208799",0
"113.049556,28.163419",0
"113.634981,28.146972",0
"112.977193,28.195395",0
"113.043077,28.219939",0
"112.970096,28.206929",0
"113.024888,28.158541",0
"113.028124,28.109395",0
"113.026083,28.462841",0
"112.998176,28.099077",0
"112.943961,28.168764",0
"113.038152,28.196605",0
"112.865117,28.288208",0
"112.95406,28.195147",0
"113.242462,28.054094",0
"112.882736,28.187374",0
"113.649201,28.11453",0
"113.717285,27.976149",0
"113.008842,28.037677",0
"113.039975,28.113329",0
"113.01446,28.039898",0
"113.050778,28.149014",0
"114.003917,28.464249",0
"112.949188,28.122121",0
"112.684939,28.303191",0
"112.866283,28.28424",0
"112.842223,28.416661",0
"112.934663,28.132807",0
"112.707984,28.419332",0
"112.974743,28.146214",0
"113.828653,28.294202",0
"112.144783,28.220298",0
"114.130199,28.424965",0
"112.941225,28.186563",0
"113.050655,28.038276",0
"113.016932,28.112376",0
"113.034629,28.241769",0
"112.655929,28.043154",0
"113.0137,28.037166",0
"113.047161,28.139995",0
"113.062222,28.23832",0
"112.94488,28.214127",0
"113.019879,28.113424",0
"112.729347,28.292843",0
"112.945008,28.187756",0
"113.01575,28.197145",0
"112.513071,28.196946",0
"113.056191,28.167337",0
"112.818494,28.410105",0
"112.876963,28.251181",0
"112.650001,28.04174",0
"113.047103,28.295086",0
"113.025496,28.462296",0
"112.777987,28.256963",0
"112.717381,28.41704",0
"113.01431,28.118328",0
"112.599821,28.209448",0
"113.012195,28.243468",0
"112.944168,28.126991",0
"113.059295,28.242457",0
"113.718893,27.938337",0
"112.970546,28.11804",0
"112.75673,28.272913",0
"113.848276,28.329168",0
"113.626418,28.172182",0
"112.950236,28.209709",0
"112.986886,28.209766",0
"112.576606,28.225324",0
"113.041259,28.157244",0
"112.551549,28.276112",0
"112.710987,28.128504",0
"113.242639,28.060541",0
"112.64249,28.049374",0
"112.667081,28.269007",0
"112.976812,28.289984",0
"112.574395,28.218803",0
"112.834104,28.451135",0
"113.852308,28.324162",0
"112.9528,28.135982",0
"112.945714,28.155961",0
"112.887461,28.403964",0
"112.887413,28.213725",0
"113.44686,28.244198",0
"112.925996,28.224714",0
"112.840667,28.424875",0
"112.122724,28.156889",0
"112.719008,28.164865",0
"113.028199,28.109262",0
"113.891432,28.085437",0
"113.975487,28.060187",0
"112.715819,28.26369",0
"112.933298,28.500234",0
"112.685094,28.303261",0
"111.97121,28.065173",0
"113.382638,28.068274",0
"113.063805,28.241863",0
"114.105908,28.426613",0
"112.981716,28.299452",0
"114.08576,28.427298",0
"113.01632,28.201448",0
"113.068756,28.054317",0
"112.971734,28.157213",0
"112.918947,28.211586",0
"112.368468,27.996178",0
"112.984506,28.230786",0
"112.560565,28.164485",0
"113.496879,28.418065",0
"112.879664,28.243155",0
"112.991227,28.114725",0
"112.122853,28.156809",0
"113.574814,28.009024",0
"113.216086,28.06337",0
"112.961643,28.206538",0
"112.915101,28.214717",0
"112.742226,27.975448",0
"112.959483,28.247502",0
"112.963982,28.24065",0
"112.68426,28.302977",0
"112.913805,28.052739",0
"112.997376,28.151325",0
"112.65431,28.039397",0
"113.011899,28.036806",0
"113.890531,28.402938",0
"112.943386,28.169505",0
"113.502957,28.081793",0
"113.680153,28.430967",0
"113.03777,28.108685",0
"112.499197,28.257901",0
"112.907161,28.163303",0
"112.540856,28.282543",0
"112.950885,28.195968",0
"112.864679,28.484324",0
"113.059704,28.169527",0
"112.950626,28.289636",0
"113.943466,28.058995",0
"112.949654,28.242203",0
"112.877592,28.43457",0
"112.937266,28.13508",0
"112.684312,28.303082",0
"114.172052,28.43891",0
"113.041067,28.114344",0
"112.92937,28.131305",0
"112.599051,28.209404",0
"113.064737,28.244994",0
"112.707514,28.393847",0
"112.990556,28.207918",0
"113.035216,28.107088",0
"113.821631,28.036907",0
"111.980048,28.177515",0
"112.980949,28.201201",0
"112.915357,28.144307",0
"113.063675,28.242858",0
"112.966767,28.178189",0
"112.954116,28.288867",0
"112.684907,28.302545",0
"112.114357,28.160076",0
"112.870896,28.157233",0
"113.034204,28.211811",0
"113.026964,28.091849",0
"113.011555,28.149521",0
"113.005522,28.194394",0
"112.685099,28.302582",0
"112.809841,28.414346",0
"112.275478,28.160876",0
"113.063883,28.244658",0
"112.118834,28.158721",0
"112.954063,28.125295",0
"113.645595,28.151316",0
"113.661156,28.444358",0
"113.932585,28.097407",0
"113.800029,28.30664",0
"112.886065,28.403228",0
"113.039008,28.158149",0
"113.174217,28.041331",0
"113.060946,28.241938",0
"114.044441,28.322563",0
"112.73399,28.085689",0
"112.547184,28.256755",0
"113.040861,28.11366",0
"113.600329,28.408145",0
"111.953228,28.100048",0
"112.967027,28.173465",0
"112.6666,28.426168",0
"113.452534,27.977647",0
"113.599506,28.41215",0
"113.018148,28.230096",0
"112.883346,28.31259",0
"112.726771,28.261893",0
"112.992567,28.369555",0
"112.90226,28.188139",0
"112.865336,28.284152",0
"112.905774,28.415674",0
"113.095416,28.019161",0
"112.989266,28.115786",0
"112.984519,28.195025",0
"113.94026,28.048648",0
"112.881463,28.246658",0
"113.53707,28.050101",0
"113.879399,28.406604",0
"112.502935,28.241313",0
"112.610585,28.222362",0
"113.599645,28.406383",0
"112.848776,28.418167",0
"112.995826,28.237472",0
"113.018928,28.4472",0
"112.791118,28.459538",0
"112.710334,28.104264",0
"112.033277,28.169513",0
"112.740641,28.113004",0
"113.877307,28.362651",0
"111.975856,28.187732",0
"112.366775,27.993485",0
"113.766551,27.991098",0
"111.977526,28.183498",0
"113.046638,28.210577",0
"112.684205,28.302328",0
"112.96122,28.252322",0
"112.915311,28.144498",0
"113.036745,28.317918",0
"113.019098,28.206099",0
"112.684586,28.303355",0
"112.111885,28.160013",0
"112.883368,28.312589",0
"113.805712,28.203865",0
"112.923494,28.082778",0
"112.956072,28.124135",0
"113.008317,28.038626",0
"112.410561,28.227117",0
"114.109277,28.330598",0
"112.790144,28.354729",0
"112.791299,28.458686",0
"113.650944,28.450049",0
"112.704331,28.413443",0
"113.057532,28.198029",0
"113.651711,28.145528",0
"112.520967,28.290458",0
"113.050157,28.161128",0
"112.151623,28.16532",0
"112.953876,28.193601",0
"112.423474,28.179766",0
"112.989851,28.171331",0
"112.801408,28.163554",0
"112.469816,28.108528",0
"113.639301,28.143445",0
"112.792791,28.46241",0
"112.150201,28.219553",0
"113.002681,28.230026",0
"113.02885,28.108943",0
"113.001643,28.21272",0
"112.982959,28.238302",0
"112.151575,28.220602",0
"113.79863,28.225053",0
"111.973876,28.069116",0
"112.901937,28.195787",0
"113.004623,28.193934",0
"112.984582,28.229267",0
"113.275697,28.024844",0
"112.5365,28.124432",0
"112.980055,28.182584",0
"113.051463,28.297116",0
"112.907996,28.181767",0
"112.929456,28.170461",0
"113.047007,28.29747",0
"111.977921,28.181125",0
"113.04401,28.294865",0
"112.856675,28.298169",0
"112.725562,28.258733",0
"112.598075,28.208458",0
"113.41947,28.266354",0
"113.051844,28.108686",0
"113.02048,28.453344",0
"111.97849,28.179168",0
"112.838968,28.418595",0
"112.331501,28.102683",0
"112.989765,28.270002",0
"113.063644,28.244538",0
"113.460055,28.26943",0
"112.924313,28.296693",0
"112.609606,28.397351",0
"112.891312,28.443089",0
"112.963552,28.00964",0
"112.640081,28.168414",0
"114.199696,28.408424",0
"113.706295,28.406834",0
"113.007417,28.041222",0
"113.678681,28.43248",0
"112.685371,28.302955",0
"112.87475,28.216679",0
"112.806136,28.133124",0
"113.97615,28.32885",0
"112.538905,28.020214",0
"113.085189,27.984232",0
"112.947933,28.361007",0
"114.127064,28.415768",0
"111.977027,28.182712",0
"112.684549,28.302522",0
"112.96752,28.188807",0
"113.025205,28.462406",0
"112.97003,28.115638",0
"112.992863,28.114825",0
"113.018016,28.038384",0
"112.724967,28.256873",0
"113.431125,28.424091",0
"113.026344,28.461191",0
"113.016744,28.203661",0
"113.040263,28.099294",0
"112.944794,28.122871",0
"112.881513,28.061069",0
"113.487767,28.129304",0
"112.936136,28.210114",0
"113.050155,28.29829",0
"113.024675,28.176778",0
"113.062249,28.23832",0
"113.503981,28.369509",0
"112.927783,28.144535",0
"113.044455,28.159424",0
"112.429142,28.083291",0
"112.345644,27.991708",0
"113.015424,28.200991",0
"112.843762,28.415356",0
"113.895601,28.085447",0
"113.016092,28.151368",0
"112.947133,28.186293",0
"113.01693,28.197761",0
"113.06224,28.23832",0
"113.683676,28.430063",0
"112.791163,28.460764",0
"113.384808,27.973241",0
"112.880954,28.175589",0
"113.806283,28.161497",0
"112.998843,28.137051",0
"112.741221,28.355941",0
"113.040284,28.128882",0
"112.955334,28.136773",0
"112.23077,28.128833",0
"112.886043,28.15615",0
"113.007659,28.039443",0
"113.039335,28.09927",0
"112.150501,28.21955",0
"112.84573,28.417953",0
"112.836322,28.275765",0
"112.946988,28.186755",0
"113.001423,28.213685",0
"113.087026,28.010302",0
"113.057894,28.252732",0
"113.048209,28.163299",0
"112.538128,28.264245",0
"113.749121,28.361383",0
"114.103592,28.332238",0
"112.965471,28.232153",0
"113.894286,28.087272",0
"112.846871,28.41862",0
"112.971429,28.146857",0
"112.867158,28.283582",0
"112.970698,28.146492",0
"112.997284,28.115209",0
"112.976291,28.300865",0
"113.127889,27.966784",0
"112.337436,28.109462",0
"112.952474,28.099314",0
"114.148592,28.39041",0
"112.719109,27.97657",0
"112.681707,28.45251",0
"112.839748,28.233789",0
"113.401869,27.995133",0
"112.686916,28.068245",0
"113.037102,28.109833",0
"113.737975,28.098091",0
"113.061281,28.242148",0
"112.122411,28.157192",0
"111.976827,28.184287",0
"113.016307,28.065761",0
"112.791743,28.461669",0
"113.020099,28.25698",0
"113.059327,28.240808",0
"112.697069,28.503753",0
"112.939247,28.215",0
"113.005625,28.194459",0
"113.06274,28.238326",0
"113.0405,28.136493",0
"113.037118,28.107665",0
"114.161023,28.373298",0
"113.313019,27.879864",0
"112.151816,28.21907",0
"113.061414,28.243213",0
"113.742274,28.250016",0
"113.615999,28.168337",0
"113.031072,28.107999",0
"112.916363,28.205319",0
"113.044777,28.2434",0
"112.939996,28.1295",0
"112.879434,28.245839",0
"113.073046,28.035418",0
"112.698785,28.429872",0
"113.632725,28.16359",0
"113.019661,28.451297",0
"112.980347,28.294646",0
"112.981676,28.19507",0
"113.341874,28.010564",0
"113.431338,28.423651",0
"111.977665,28.181756",0
"113.064544,28.242481",0
"112.481274,28.085387",0
"113.026199,28.462968",0
"111.975675,28.188139",0
"112.652837,28.043743",0
"112.819986,28.37411",0
"114.087611,28.428125",0
"114.084978,28.42895",0
"113.648609,28.4517",0
"113.026838,28.462653",0
"112.916705,28.087482",0
"112.635925,28.129482",0
"112.202731,28.039033",0
"112.863571,28.416173",0
"112.915332,28.144634",0
"113.038436,28.14349",0
"113.063276,28.244727",0
"112.262566,28.139742",0
"113.647383,28.452389",0
"112.887573,28.381767",0
"112.966766,28.171894",0
"112.915123,28.065177",0
"113.023409,28.206731",0
"114.042141,28.081067",0
"113.04388,28.22245",0
"112.958319,28.320157",0
"113.58056,28.112253",0
"112.983935,28.228814",0
"112.949782,28.17702",0
"112.949702,28.167704",0
"112.146956,28.22027",0
"113.01628,28.037359",0
"112.993152,28.075539",0
"112.574127,28.241951",0
"112.151409,28.219732",0
"113.941455,28.048997",0
"112.955299,28.171739",0
"112.989071,28.161504",0
"113.030403,28.34339",0
"112.837112,28.421183",0
"113.011437,28.036204",0
"112.980133,28.126723",0
"112.926339,28.130316",0
"112.946748,28.210112",0
"113.665428,28.193428",0
"113.03359,28.170063",0
"112.59601,28.20576",0
"112.950412,28.19874",0
"112.908088,28.300343",0
"112.134508,28.106428",0
"113.041549,28.157349",0
"113.651883,28.145427",0
"113.02247,28.07886",0
"113.731657,27.996409",0
"113.081847,28.201963",0
"112.942667,28.307687",0
"113.065558,28.196188",0
"112.915357,28.144307",0
"112.847571,28.41897",0
"112.885642,28.156419",0
"112.572961,28.287413",0
"112.949366,28.167711",0
"113.373582,28.281516",0
"112.813419,28.512249",0
"113.399457,28.224047",0
"112.963098,28.235255",0
"112.846631,28.293964",0
"114.114937,28.413268",0
"112.949975,28.126481",0
"112.877205,28.447541",0
"112.910355,28.11576",0
"112.563819,28.272277",0
"113.882585,28.28297",0
"111.9986,28.112851",0
"113.600219,28.409185",0
"112.725123,28.257217",0
"112.912064,28.059425",0
"113.090574,28.210167",0
"112.148981,28.220441",0
"113.884271,28.015803",0
"112.928576,28.131033",0
"113.071766,28.198435",0
"112.748818,28.087099",0
"113.097035,28.018293",0
"112.988162,28.189579",0
"112.984327,28.24278",0
"112.619708,28.284325",0
"112.872972,28.205671",0
"113.709126,27.912316",0
"113.011,28.138516",0
"113.030132,28.108555",0
"112.122332,28.157348",0
"112.96246,28.009218",0
"113.097882,28.018628",0
"113.35217,28.345696",0
"113.015398,28.201345",0
"112.94813,28.183672",0
"113.731046,27.97512",0
"112.901377,28.24237",0
"113.432618,28.254731",0
"112.915229,28.100996",0
"113.001077,28.343308",0
"112.910815,28.278818",0
"113.025853,28.458403",0
"114.016906,28.36069",0
"112.993179,28.196737",0
"112.147768,28.023075",0
"113.720346,28.329803",0
"112.560063,28.257624",0
"113.846489,28.329509",0
"113.094943,28.012398",0
"113.013141,28.037583",0
"112.911223,28.181579",0
"113.038256,28.295174",0
"113.000755,28.176579",0
"111.975788,28.187935",0
"112.68537,28.303371",0
"112.969184,28.227199",0
"112.981154,28.213827",0
"112.989352,28.191789",0
"112.965628,28.297453",0
"112.993116,28.151687",0
"112.704199,28.473015",0
"112.151143,28.220924",0
"113.721325,27.992427",0
"113.450382,28.455948",0
"113.091859,28.184069",0
"112.984734,28.229568",0
"112.597981,28.208583",0
"113.391638,28.454965",0
"112.932078,28.133269",0
"112.966694,28.177095",0
"112.930177,28.129517",0
"112.955831,28.125103",0
"112.987562,28.158769",0
"113.731579,27.996261",0
"113.9652,28.332338",0
"112.861173,28.240262",0
"112.886369,28.112849",0
"113.002232,28.264661",0
"112.115428,28.064072",0
"112.060855,28.094258",0
"113.760217,28.423302",0
"113.654106,27.913456",0
"113.292572,28.015235",0
"113.731547,27.995377",0
"112.258913,28.074809",0
"113.028244,28.108697",0
"112.871317,28.215809",0
"113.047144,28.294918",0
"113.045356,28.161206",0
"112.84548,28.293986",0
"112.967377,28.179217",0
"112.119646,28.157733",0
"113.060986,28.240872",0
"113.510794,28.100044",0
"112.151,28.221173",0
"112.791719,28.461656",0
"113.059838,28.243169",0
"112.985736,28.209917",0
"113.030926,28.108169",0
"113.851842,28.328102",0
"112.88615,28.200404",0
"112.826362,28.361213",0
"112.896802,28.251452",0
"114.025295,28.334446",0
"113.994689,28.494551",0
"113.024265,28.095006",0
"113.653981,28.124035",0
"113.04051,28.136533",0
"113.94332,28.335043",0
"112.428192,28.182881",0
"113.024658,28.463639",0
"112.883438,28.312546",0
"112.955005,28.124701",0
"113.628463,28.177807",0
"112.712175,28.349567",0
"112.82034,28.305565",0
"112.941597,28.282402",0
"112.847553,28.419556",0
"112.948523,28.398565",0
"113.681473,28.43045",0
"113.110379,28.188407",0
"112.957506,28.320135",0
"113.34405,28.264263",0
"112.93039,28.437709",0
"113.412951,28.333324",0
"112.677164,28.38552",0
"112.806276,28.302242",0
"112.992597,28.179879",0
"112.954171,28.044324",0
"112.783645,28.502935",0
"112.997019,28.233047",0
"112.151165,28.220908",0
"113.564798,28.468198",0
"113.090739,28.188088",0
"113.059175,28.243332",0
"113.024875,28.180453",0
"112.915357,28.144307",0
"113.722848,28.332321",0
"112.867402,28.204598",0
"113.038763,28.112621",0
"112.837828,28.417541",0
"113.433779,28.449295",0
"112.94121,28.414227",0
"112.980306,28.120414",0
"112.800258,28.465794",0
"112.964098,28.21815",0
"112.855121,28.448546",0
"111.975741,28.188044",0
"113.008874,28.077921",0
"112.110132,28.159359",0
"112.99248,28.185135",0
"112.706708,28.415868",0
"112.981851,28.20752",0
"112.934602,28.134153",0
"112.990272,28.112472",0
"113.018578,28.115398",0
"113.497248,28.183248",0
"113.653798,27.911978",0
"112.926861,28.143218",0
"112.977674,28.295642",0
"113.943302,28.348099",0
"113.047735,28.30202",0
"113.001479,28.216542",0
"112.952119,28.127348",0
"113.68568,28.430048",0
"113.019971,28.256719",0
"113.021636,28.454796",0
"112.751691,28.069611",0
"112.785034,28.276236",0
"111.974753,28.187705",0
"113.300334,28.227204",0
"112.988097,28.189258",0
"112.906683,28.271032",0
"113.062276,28.238336",0
"113.291371,28.225339",0
"114.130667,28.426045",0
"112.560335,28.239228",0
"112.842846,28.405912",0
"112.178465,28.080633",0
"112.970061,28.115637",0
"112.151333,28.219568",0
"113.040501,28.136867",0
"113.059654,28.24301",0
"113.875295,28.215648",0
"113.921447,28.026525",0
"112.961914,28.204784",0
"112.940565,28.186276",0
"114.089191,28.428324",0
"113.61154,28.161757",0
"112.949059,28.125813",0
"113.023752,28.456128",0
"113.73157,27.996405",0
"112.556084,28.251349",0
"113.09872,28.196463",0
"111.975781,28.187884",0
"112.342367,27.993653",0
"112.981351,28.295017",0
"112.109421,28.160001",0
"112.83752,28.421916",0
"112.949531,28.210082",0
"113.02515,28.462232",0
"112.123658,28.157882",0
"112.457871,28.21638",0
"113.011792,28.133276",0
"112.879703,28.247522",0
"112.945786,28.186486",0
"112.941679,28.134911",0
"112.684575,28.302958",0
"112.616462,28.228636",0
"112.612652,28.281836",0
"113.000126,28.25684",0
"112.685185,28.30322",0
"114.01605,28.462809",0
"113.014538,28.060074",0
"112.120684,28.157355",0
"112.958303,28.477024",0
"113.074619,28.08138",0
"112.685067,28.302961",0
"113.879012,28.021617",0
"112.903363,28.178855",0
"112.337433,28.10946",0
"113.883552,28.289862",0
"113.005722,28.298874",0
"112.847698,28.415165",0
"112.130356,28.168008",0
"113.846354,28.323358",0
"112.939291,28.156544",0
"113.03944,28.140592",0
"112.53426,28.155628",0
"113.101899,27.987226",0
"112.9473,28.126274",0
"113.318593,28.243659",0
"112.915332,28.144634",0
"112.660317,28.294463",0
"112.914062,28.19997",0
"112.915332,28.144632",0
"112.975958,28.021152",0
"112.831852,28.231606",0
"112.913445,28.363191",0
"113.731476,27.995453",0
"112.919353,28.170671",0
"113.000807,28.21773",0
"113.845887,28.338265",0
"113.030458,28.108409",0
"112.67016,28.150551",0
"114.096531,28.427451",0
"112.932661,28.131627",0
"113.716085,27.926715",0
"113.14073,27.989749",0
"113.02566,28.462753",0
"112.585465,28.099146",0
"113.038974,28.098414",0
"113.053315,28.234766",0
"112.91967,28.215239",0
"112.992709,28.113142",0
"113.065596,28.034145",0
"112.600954,28.040604",0
"112.950787,28.215713",0
"113.875294,28.410297",0
"112.626253,27.954207",0
"113.100322,28.183505",0
"112.699314,28.058513",0
"112.926791,28.295228",0
"113.028911,28.122447",0
"111.974938,28.187347",0
"112.974015,28.344477",0
"112.91106,28.428891",0
"112.90821,28.382055",0
"112.080651,28.128755",0
"114.205931,28.373279",0
"113.06224,28.238352",0
"113.653516,27.912683",0
"112.953966,28.200403",0
"112.643262,28.012432",0
"113.053731,28.253885",0
"112.684783,28.301222",0
"112.123609,28.157629",0
"113.321592,27.938716",0
"111.977803,28.18286",0
"112.934615,28.132265",0
"112.793025,28.542108",0
"113.675186,28.435405",0
"112.837913,28.300884",0
"112.979762,28.182658",0
"114.035708,28.312236",0
"113.063115,28.242559",0
"112.99816,28.261998",0
"113.029907,28.108359",0
"112.798321,28.464916",0
"113.938571,28.049337",0
"112.714003,28.093601",0
"112.975446,28.191905",0
"113.645602,28.151858",0
"113.763434,28.424679",0
"113.420206,28.231775",0
"112.924766,28.273165",0
"112.12359,27.995341",0
"113.851176,28.328132",0
"113.062311,28.243413",0
"112.519083,28.099036",0
"112.336164,28.105978",0
"114.20157,28.428299",0
"112.071174,27.993446",0
"113.651851,28.145634",0
"111.97804,28.181633",0
"112.891942,28.196504",0
"112.984677,28.200382",0
"113.013902,28.03708",0
"113.731674,27.995468",0
"112.930561,28.132101",0
"111.97225,28.070109",0
"112.952667,28.173301",0
"112.941305,28.186465",0
"111.975367,28.188269",0
"112.897465,28.287064",0
"113.646529,28.165642",0
"113.885852,28.084745",0
"112.710284,28.138254",0
"112.551877,28.196413",0
"112.924279,28.223451",0
"112.99559,28.259652",0
"112.934772,28.133429",0
"112.147056,28.220181",0
"113.640013,28.157658",0
"112.621165,28.2583",0
"113.038246,28.196774",0
"113.063344,28.242691",0
"112.950599,28.127071",0
"112.675761,28.248024",0
"112.123288,28.158367",0
"113.060125,28.242149",0
"112.95195,28.124328",0
"113.041175,28.135199",0
"113.016242,28.171031",0
"113.042013,28.169297",0
"112.706258,28.423834",0
"113.019796,28.256382",0
"113.035971,28.195829",0
"112.717135,28.237427",0
"113.048266,28.295296",0
"114.085895,28.428856",0
"113.653417,27.912841",0
"113.088626,28.036879",0
"113.888555,28.400022",0
"112.83667,28.472016",0
"113.879742,28.488731",0
"113.005106,28.309703",0
"111.974961,28.188138",0
"112.999215,28.262727",0
"112.955831,28.125103",0
"114.142487,28.393576",0
"112.956981,28.123377",0
"113.449373,28.313896",0
"113.091771,28.009134",0
"112.93227,28.13156",0
"113.064012,28.24314",0
"114.148353,28.390434",0
"112.15099,28.221707",0
"113.002842,28.182691",0
"112.980344,28.275196",0
"112.944388,28.127924",0
"112.956323,28.123214",0
"113.431481,28.423073",0
"114.164999,28.437449",0
"113.322803,28.046158",0
"113.54625,27.980367",0
"112.943796,28.228163",0
"113.047103,28.19183",0
"113.040595,28.15039",0
"112.122423,28.161745",0
"112.685502,28.303327",0
"113.652238,28.145331",0
"112.887065,28.402349",0
"112.951608,28.284048",0
"113.653323,28.173589",0
"112.908904,28.214125",0
"112.983577,28.228845",0
"112.914259,28.222601",0
"113.691644,28.068234",0
"113.093013,28.18137",0
"113.443101,27.99837",0
"112.923742,28.300219",0
"112.924089,28.162604",0
"112.728163,28.102631",0
"113.492572,28.304275",0
